commune,latitude,longitude,date_incident,type_incident,gravite,source
Ngaba,-4.376203766555923,15.320044901029542,2023-04-28 19:00:00,agression,Moyenne,réseaux sociaux
Matete,-4.387624443670538,15.344264248000476,2023-11-22 10:00:00,vandalisme,Faible,réseaux sociaux
Matete,-4.392038599164418,15.34123751921904,2023-08-31 17:00:00,violence sexuelle,Moyenne,réseaux sociaux
Selembao,-4.379720712390869,15.269579860235337,2023-12-17 18:00:00,agression,Faible,application Kimia-kin
Selembao,-4.3742090487664465,15.28840276104165,2023-09-27 19:00:00,insécurité routière,Moyenne,réseaux sociaux
Matete,-4.386028298658434,15.34335730954497,2023-10-03 20:00:00,accident,Élevée,réseaux sociaux
Selembao,-4.379830506430817,15.27938897704137,2023-07-12 18:00:00,agression,Élevée,application Kimia-kin
Selembao,-4.370605317692652,15.269150990326448,2023-11-25 19:00:00,vol,Faible,réseaux sociaux
Selembao,-4.36494406734617,15.293751100657902,2023-06-09 20:00:00,agression,Moyenne,application Kimia-kin
Ngaba,-4.371232934839983,15.323128404101414,2023-04-29 12:00:00,vol,Faible,application Kimia-kin
Matete,-4.387417881960955,15.348777172843416,2023-06-26 09:00:00,agression,Élevée,réseaux sociaux
Kimbanseke,-4.43947736487275,15.402776973679178,2023-07-20 16:00:00,agression,Faible,réseaux sociaux
Bumbu,-4.3693960814214705,15.292025801194214,2023-10-19 21:00:00,agression,Faible,réseaux sociaux
Ngaba,-4.381187089921404,15.323468892494095,2023-09-09 17:00:00,vol,Faible,application Kimia-kin
Bumbu,-4.373778674704793,15.282736271214226,2023-03-02 08:00:00,agression,Faible,réseaux sociaux
Matete,-4.390655413983993,15.347912995628294,2023-04-24 19:00:00,vol,Faible,ONG
Selembao,-4.3564893668920615,15.28054827451801,2023-09-26 19:00:00,enlèvement,Faible,application Kimia-kin
Kimbanseke,-4.448041243292123,15.40288658884896,2023-02-20 21:00:00,agression,Faible,ONG
Matete,-4.377221279625515,15.34632406871553,2023-07-07 18:00:00,vol,Faible,réseaux sociaux
Lemba,-4.404102208025885,15.308569261442297,2023-08-06 19:00:00,vol,Faible,réseaux sociaux
Bumbu,-4.366255658689707,15.288568622765032,2023-05-06 13:00:00,vol,Moyenne,application Kimia-kin
Matete,-4.388997626711734,15.350327682312201,2023-11-05 02:00:00,vol,Élevée,réseaux sociaux
Selembao,-4.37085986353534,15.283007215336125,2023-10-06 01:00:00,vol,Faible,réseaux sociaux
Kimbanseke,-4.45144285404051,15.391996411658603,2023-05-03 20:00:00,violence sexuelle,Faible,réseaux sociaux
Ngaba,-4.393682817227891,15.321884659786209,2023-05-16 10:00:00,vol,Faible,application Kimia-kin
Barumbu,-4.3154865300112615,15.338521745392223,2023-12-03 18:00:00,accident,Faible,ONG
Matete,-4.399591411262958,15.35676278905216,2023-12-07 14:00:00,vol,Moyenne,réseaux sociaux
Matete,-4.39540540431693,15.344577851764475,2023-07-08 19:00:00,agression,Élevée,ONG
Matete,-4.389695562968909,15.353710010952849,2023-07-31 14:00:00,incendie,Moyenne,application Kimia-kin
Selembao,-4.382014751919358,15.275894072313701,2023-08-22 20:00:00,insécurité routière,Faible,réseaux sociaux
Bandalungwa,-4.3446393620835275,15.266306997468398,2023-11-19 08:00:00,vol,Élevée,application Kimia-kin
Selembao,-4.368440138678426,15.285370652301468,2023-08-04 09:00:00,violence sexuelle,Élevée,ONG
Bumbu,-4.367780765509294,15.300464212433948,2023-08-29 16:00:00,agression,Moyenne,réseaux sociaux
Selembao,-4.36687201850229,15.284240934086675,2023-08-04 20:00:00,agression,Moyenne,application Kimia-kin
Ngaba,-4.387280182922891,15.313526952944,2023-06-20 13:00:00,vol,Faible,réseaux sociaux
Matete,-4.374917829984789,15.352164703207686,2023-08-11 18:00:00,vol,Moyenne,réseaux sociaux
Matete,-4.374827169751904,15.323019750397886,2023-11-23 19:00:00,agression,Élevée,application Kimia-kin
Matete,-4.3916493400380325,15.350627477840533,2023-09-09 21:00:00,vol,Élevée,ONG
